Site_ID,Zone,State_UT,Circle,City,Site_Cluster,Site_Type,Site_Criticality,Customer_Base,Power_Backup,Primary_VendorTech_ID,Sampling_Weight,Sampling_Probability
SITE0001,North,Delhi,Delhi NCR,New Delhi,Delhi NCR,Urban,Tier 1,9169,Grid,4,3.5008630377767838,0.00381521544843026
SITE0002,Central,Uttar Pradesh,UP,Lucknow,Lucknow,Rural,Tier 3,518,Grid,1,0.05324852712307616,5.802986323484703e-05
SITE0003,Central,Madhya Pradesh,Central,Bhopal,Bhopal,Semi-Urban,Tier 2,3651,Grid,4,0.7659379581055514,0.0008347136973856533
SITE0004,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Semi-Urban,Tier 3,1112,DG,7,0.1632993992301729,0.0001779625149397405
SITE0005,North,Haryana,Upper North,Hisar,Hisar,Urban,Tier 2,7810,Hybrid,4,2.1299830426309683,0.0023212402546032703
SITE0006,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Urban,Tier 1,8475,Hybrid,6,3.235883329169838,0.0035264424610586165
SITE0007,West,Gujarat,Gujarat,Ahmedabad,Ahmedabad,Urban,Tier 1,10810,Hybrid,1,4.127421685938165,0.004498034572748512
SITE0008,East,West Bengal,East,Siliguri,Kolkata,Rural,Tier 3,502,Solar,7,0.05160378497255643,5.6237435026820865e-05
SITE0009,West,Maharashtra,Maharashtra,Nashik,Mumbai,Semi-Urban,Tier 3,1970,Grid,8,0.28929839611820196,0.0003152753187331733
SITE0010,North,Himachal Pradesh,Upper North,Dharamshala,Shimla,Semi-Urban,Tier 2,3848,DG,7,0.8072663004081517,0.0008797530286332495
SITE0011,Central,Uttar Pradesh,UP,Varanasi,Lucknow,Urban,Tier 2,6019,Grid,10,1.6415323858637383,0.0017889302295079489
SITE0012,West,Maharashtra,Maharashtra,Nashik,Mumbai,Rural,Tier 3,317,Grid,8,0.03258645385717209,3.551248387151836e-05
SITE0013,West,Rajasthan,Rajasthan,Kota,Jaipur,Rural,Tier 3,500,DG,9,0.05139819220374147,5.6013381500817604e-05
SITE0014,West,Rajasthan,Rajasthan,Jodhpur,Jaipur,Urban,Tier 1,12256,Hybrid,9,4.679526381392983,0.005099714313007009
SITE0015,East,West Bengal,East,Siliguri,Kolkata,Urban,Tier 1,10448,Grid,7,3.9892046045034175,0.0043474065879811705
SITE0016,West,Rajasthan,Rajasthan,Udaipur,Jaipur,Urban,Tier 1,12293,Hybrid,7,4.693653541650126,0.005115109991008091
SITE0017,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Urban,Tier 1,9283,Grid,1,3.5443899639744667,0.00386265078064981
SITE0018,North,Haryana,Upper North,Panipat,Panipat,Semi-Urban,Tier 2,2659,DG,4,0.5578277268153002,0.0006079166588190775
SITE0019,North,Haryana,Upper North,Panipat,Panipat,Urban,Tier 1,13871,Grid,5,5.296157835860156,0.005771714852783961
SITE0020,North,Haryana,Upper North,Faridabad,Delhi NCR,Urban,Tier 1,13166,Grid,3,5.026978160690275,0.005478364771952536
SITE0021,North,Delhi,Delhi NCR,New Delhi,Delhi NCR,Semi-Urban,Tier 2,2398,Grid,3,0.503072917977845,0.0005482452605671861
SITE0022,West,Rajasthan,Rajasthan,Kota,Jaipur,Urban,Tier 3,4233,Grid,10,0.8081117482227683,0.0008806743916024262
SITE0023,Central,Uttar Pradesh,UP,Kanpur,Lucknow,Urban,Tier 1,13678,Hybrid,9,5.2224675134377625,0.005691407667535074
SITE0024,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Urban,Tier 2,7125,Grid,8,1.9431663481108383,0.0021176487598013184
SITE0025,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Urban,Tier 2,7171,DG,4,1.9557117027793434,0.002131320597408457
SITE0026,East,Jharkhand,Bihar,Jamshedpur,Ranchi,Semi-Urban,Tier 3,1074,Grid,1,0.15771902407662383,0.0001718810620910803
SITE0027,Central,Madhya Pradesh,Central,Indore,Indore,Urban,Tier 1,14280,Grid,1,5.452320228972894,0.0059418995096067306
SITE0028,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Semi-Urban,Tier 2,2601,DG,3,0.545659991518088,0.000594656348096435
SITE0029,West,Gujarat,Gujarat,Ahmedabad,Ahmedabad,Semi-Urban,Tier 3,1399,DG,1,0.2054459168372409,0.00022389348777041091
SITE0030,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Urban,Tier 3,3336,Grid,1,0.6368676569976743,0.000694053808264988
SITE0031,North,Haryana,Upper North,Panipat,Panipat,Semi-Urban,Tier 3,1504,DG,9,0.22086537449836335,0.0002406975022206562
SITE0032,West,Maharashtra,Maharashtra,Pune,Mumbai,Urban,Tier 1,8499,Hybrid,7,3.2450468925798766,0.0035364288467890485
SITE0033,East,West Bengal,East,Durgapur,Kolkata,Urban,Tier 1,13692,Grid,3,5.227812925426952,0.00569723305921116
SITE0034,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Rural,Tier 3,337,Grid,1,0.034642381545321746,3.7753019131551055e-05
SITE0035,North,Delhi,Delhi NCR,Rohini,Delhi NCR,Rural,Tier 3,249,Grid,4,0.025596299717463248,2.7894663987407162e-05
SITE0036,West,Maharashtra,Maharashtra,Nagpur,Nagpur,Rural,Tier 3,458,Solar,1,0.04708074405862718,5.1308257454748917e-05
SITE0037,Central,Madhya Pradesh,Central,Indore,Indore,Urban,Tier 2,5972,Grid,9,1.6287143060937441,0.001774961178039786
SITE0038,North,Punjab,Upper North,Patiala,Ludhiana,Urban,Tier 1,13738,Hybrid,4,5.24537642196286,0.005716373631861154
SITE0039,West,Maharashtra,Maharashtra,Nashik,Mumbai,Semi-Urban,Tier 3,1624,Grid,4,0.23848761182536038,0.00025990209016379365
SITE0040,Central,Chhattisgarh,Central,Bilaspur,Raipur,Urban,Tier 1,9885,Grid,4,3.774242679509598,0.004113142622721466
SITE0041,West,Maharashtra,Maharashtra,Nashik,Mumbai,Urban,Tier 2,7301,Grid,1,1.9911659659729446,0.002169958399341674
SITE0042,North,Haryana,Upper North,Gurugram,Delhi NCR,Urban,Tier 2,7028,Grid,6,1.916712013266382,0.002088819015281918
SITE0043,West,Gujarat,Gujarat,Ahmedabad,Ahmedabad,Urban,Tier 2,7757,Hybrid,7,2.1155286122520383,0.0023054879199689584
SITE0044,Central,Chhattisgarh,Central,Bilaspur,Raipur,Rural,Tier 3,536,Solar,7,0.055098862042410844,6.0046344968876457e-05
SITE0045,West,Rajasthan,Rajasthan,Jodhpur,Jaipur,Urban,Tier 1,9900,Hybrid,1,3.7799699066408725,0.0041193841138029855
SITE0046,North,Delhi,Delhi NCR,Karol Bagh,Delhi NCR,Semi-Urban,Tier 3,1562,DG,5,0.22938278920641192,0.000249979719726506
SITE0047,West,Maharashtra,Maharashtra,Nagpur,Nagpur,Urban,Tier 1,14900,Grid,5,5.689045617065555,0.006199881140976211
SITE0048,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Semi-Urban,Tier 2,3938,Grid,8,0.8261472689727914,0.0009003293728580396
SITE0049,West,Gujarat,Gujarat,Vadodara,Ahmedabad,Semi-Urban,Tier 2,3449,Hybrid,4,0.7235606731049157,0.0007885312359033466
SITE0050,Central,Uttar Pradesh,UP,Kanpur,Lucknow,Urban,Tier 2,5546,Grid,4,1.5125334128593277,0.0016483480732432442
SITE0051,North,Haryana,Upper North,Gurugram,Delhi NCR,Rural,Tier 3,501,Grid,6,0.05150098858814895,5.612540826381923e-05
SITE0052,East,West Bengal,East,Howrah,Kolkata,Semi-Urban,Tier 1,4921,DG,6,1.44531716476921,0.0015750962878029909
SITE0053,North,Punjab,Upper North,Ludhiana,Ludhiana,Rural,Tier 3,698,DG,4,0.07175187631642307,7.819468057514136e-05
SITE0054,North,Uttarakhand,UP,Dehradun,Dehradun,Rural,Tier 2,1280,Solar,4,0.18797053148796877,0.0002048489380601329
SITE0055,North,Punjab,Upper North,Ludhiana,Ludhiana,Semi-Urban,Tier 1,5372,DG,4,1.5777776486771382,0.001719450773842241
SITE0056,West,Maharashtra,Maharashtra,Nashik,Mumbai,Rural,Tier 3,519,Grid,8,0.05335132350748364,5.8141889997848664e-05
SITE0057,West,Gujarat,Gujarat,Surat,Ahmedabad,Urban,Tier 2,6956,DG,4,1.8970758059591568,0.0020674196172881364
SITE0058,West,Gujarat,Gujarat,Ahmedabad,Ahmedabad,Urban,Tier 3,4503,Grid,9,0.8596567924042349,0.0009368478113361033
SITE0059,North,Delhi,Delhi NCR,Rohini,Delhi NCR,Urban,Tier 1,10096,Grid,4,3.8548056744895205,0.004200939597268177
SITE0060,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Urban,Tier 2,7964,Grid,9,2.171982708260311,0.002367011189201081
SITE0061,North,Punjab,Upper North,Amritsar,Amritsar,Urban,Tier 2,5703,DG,8,1.5553512537931384,0.001695010649424129
